00, ,<,01
01,0,<,01
01,1,<,01
01,2,<,01
01,3,<,01
01,4,<,01
01,5,<,01
01,6,<,01
01,7,<,01
01, ,>,21
02,0,>,20
02,1,>,20
02,2,>,20
02,3,>,20
02,4,>,20
02,5,>,20
02,6,>,20
02,7,>,20
03,0,<,03
03,1,<,03
03, ,<,04
04,0,<,04
04,1,<,04
04,2,<,04
04,3,<,04
04,4,<,04
04,5,<,04
04,6,<,04
04,7,<,04
04, ,0,02
05,0,<,05
05,1,<,05
05, ,<,06
06,0,<,06
06,1,<,06
06,2,<,06
06,3,<,06
06,4,<,06
06,5,<,06
06,6,<,06
06,7,<,06
06, ,1,02
07,0,<,07
07,1,<,07
07, ,<,08
08,0,<,08
08,1,<,08
08,2,<,08
08,3,<,08
08,4,<,08
08,5,<,08
08,6,<,08
08,7,<,08
08, ,2,02
09,0,<,09
09,1,<,09
09, ,<,10
10,0,<,10
10,1,<,10
10,2,<,10
10,3,<,10
10,4,<,10
10,5,<,10
10,6,<,10
10,7,<,10
10, ,3,02
11,0,<,11
11,1,<,11
11, ,<,12
12,0,<,12
12,1,<,12
12,2,<,12
12,3,<,12
12,4,<,12
12,5,<,12
12,6,<,12
12,7,<,12
12, ,4,02
13,0,<,13
13,1,<,13
13, ,<,14
14,0,<,14
14,1,<,14
14,2,<,14
14,3,<,14
14,4,<,14
14,5,<,14
14,6,<,14
14,7,<,14
14, ,5,02
15,0,<,15
15,1,<,15
15, ,<,16
16,0,<,16
16,1,<,16
16,2,<,16
16,3,<,16
16,4,<,16
16,5,<,16
16,6,<,16
16,7,<,16
16, ,6,02
17,0,<,17
17,1,<,17
17, ,<,18
18,0,<,18
18,1,<,18
18,2,<,18
18,3,<,18
18,4,<,18
18,5,<,18
18,6,<,18
18,7,<,18
18, ,7,02
19,0,>,19
19,1,>,19
19, , ,19
20,0, ,39
20,1, ,46
20,2, ,53
20,3, ,60
20,4, ,67
20,5, ,74
20,6, ,81
20,7, ,88
20, ,>,19
21,0,>,21
21, ,>,22
22, ,0,22
22,0,0,19
21,1, ,26
21,2, ,29
21,3, ,34
21,4,4,20
21,5,5,20
21,6,6,20
21,7,7,20
23, ,>,24
24, ,>,25
25, ,0,03
26, ,>,27
27,0,>,27
27,1,>,27
27,2,>,27
27,3,>,27
27,4,>,27
27,5,>,27
27,6,>,27
27,7,>,27
27, ,>,28
28, ,1,05
29, ,>,30
30,0,>,30
30,1,>,30
30,2,>,30
30,3,>,30
30,4,>,30
30,5,>,30
30,6,>,30
30,7,>,30
30, ,>,31
31, ,1,32
32,1,>,33
33, ,0,07
34, ,>,35
35,0,>,35
35,1,>,35
35,2,>,35
35,3,>,35
35,4,>,35
35,5,>,35
35,6,>,35
35,7,>,35
35, ,>,36
36, ,1,37
37,1,>,38
38, ,1,09
39, ,>,40
40,0,>,40
40,1,>,40
40,2,>,40
40,3,>,40
40,4,>,40
40,5,>,40
40,6,>,40
40,7,>,40
40, ,>,41
41,0,>,41
41,1,>,41
41,2,>,41
41,3,>,41
41,4,>,41
41,5,>,41
41,6,>,41
41,7,>,41
41, ,0,42
42,0,>,43
43, ,0,44
44,0,>,45
45, ,0,03
46, ,>,47
47,0,>,47
47,1,>,47
47,2,>,47
47,3,>,47
47,4,>,47
47,5,>,47
47,6,>,47
47,7,>,47
47, ,>,48
48,0,>,48
48,1,>,48
48, ,0,49
49,0,>,50
50, ,0,51
51,0,>,52
52, ,1,05
53, ,>,54
54,0,>,54
54,1,>,54
54,2,>,54
54,3,>,54
54,4,>,54
54,5,>,54
54,6,>,54
54,7,>,54
54, ,>,55
55,0,>,55
55,1,>,55
55, ,0,56
56,0,>,57
57, ,1,58
58,1,>,59
59, ,0,07
60, ,>,61
61,0,>,61
61,1,>,61
61,2,>,61
61,3,>,61
61,4,>,61
61,5,>,61
61,6,>,61
61,7,>,61
61, ,>,62
62,0,>,62
62,1,>,62
62, ,0,63
63,0,>,64
64, ,1,65
65,1,>,66
66, ,1,09
67, ,>,68
68,0,>,68
68,1,>,68
68,2,>,68
68,3,>,68
68,4,>,68
68,5,>,68
68,6,>,68
68,7,>,68
68, ,>,69
69,0,>,69
69,1,>,69
69, ,1,70
70,1,>,71
71, ,0,72
72,0,>,73
73, ,0,11
74, ,>,75
75,0,>,75
75,1,>,75
75,2,>,75
75,3,>,75
75,4,>,75
75,5,>,75
75,6,>,75
75,7,>,75
75, ,>,76
76,0,>,76
76,1,>,76
76, ,1,77
77,1,>,78
78, ,0,79
79,0,>,80
80, ,1,13
81, ,>,82
82,0,>,82
82,1,>,82
82,2,>,82
82,3,>,82
82,4,>,82
82,5,>,82
82,6,>,82
82,7,>,82
82, ,>,83
83,0,>,83
83,1,>,83
83, ,1,84
84,1,>,85
85, ,1,86
86,1,>,87
87, ,0,15
88, ,>,89
89,0,>,89
89,1,>,89
89,2,>,89
89,3,>,89
89,4,>,89
89,5,>,89
89,6,>,89
89,7,>,89
89, ,>,90
90,0,>,90
90,1,>,90
90, ,1,91
91,1,>,92
92, ,1,93
93,1,>,94
94, ,1,17
